corpus,task,trial,reward_attribution,f2p_normative,f2p_implementation,f2p_measurement,p2p_normative,p2p_implementation,rationale
python,fastapi-implicit-head-options,terra_1,implementation,0,0,0,0,3134,"An absolute-path assertion broke collection across existing callback and router forms."
python,fastapi-implicit-head-options,terra_2,implementation,0,3,0,0,1,"Settings and signatures were propagated inconsistently."
python,fastapi-implicit-head-options,terra_3,implementation,0,1,0,0,0,"Wired one HTTP helper family but not the complete public helper surface."
python,fastapi-implicit-head-options,terra_4,implementation,0,1,0,0,273,"Router reuse leaked state and perturbed OpenAPI."
python,sqlite-utils-safe-import-checkpoints,luna_3,implementation,0,1,0,0,0,"Safe mode omitted invariant checks for UPDATE."
python,sqlite-utils-safe-import-checkpoints,terra_1,implementation,0,1,0,0,0,"Library behavior was not integrated correctly through the reopened CLI path."
python,sqlite-utils-safe-import-checkpoints,terra_2,implementation,0,10,0,0,0,"Existing helper commits destroyed active savepoints."
python,sqlite-utils-safe-import-checkpoints,terra_3,implementation,0,6,0,0,0,"Upsert, bulk CLI, and transaction paths were incompletely integrated."
nonpython,testem-bail-on-test-failure,luna_1,implementation,0,15,0,0,0,"The explicit bail contract was only partially wired across app, reporters, runners, and adapters."
nonpython,testem-bail-on-test-failure,luna_2,implementation,0,33,0,0,0,"The explicit bail contract was only partially wired across app, reporters, runners, and adapters."
nonpython,testem-bail-on-test-failure,luna_3,implementation,0,12,0,0,0,"The explicit bail contract was only partially wired across app, reporters, runners, and adapters."
nonpython,testem-bail-on-test-failure,luna_4,implementation,0,47,0,0,7,"Broadly incomplete bail integration also regressed pre-existing bail-reason behavior."
nonpython,testem-bail-on-test-failure,terra_1,implementation,0,25,0,0,0,"Reporter output and state propagation were incompletely integrated."
nonpython,testem-bail-on-test-failure,terra_2,implementation,0,7,0,0,0,"Browser adapter abort completion and invalid-config warning paths were incomplete."
nonpython,testem-bail-on-test-failure,terra_3,implementation,0,8,0,0,0,"Browser adapter abort completion and invalid-config warning paths were incomplete."
nonpython,testem-bail-on-test-failure,terra_4,implementation,0,8,0,0,0,"Browser adapter abort completion and invalid-config warning paths were incomplete."
nonpython,testem-bail-on-test-failure,sol_2,implementation,0,1,0,0,0,"Invalid configuration did not log through the required npmlog contract."
nonpython,testem-bail-on-test-failure,sol_3,implementation,0,1,0,0,0,"Invalid configuration did not log through the required npmlog contract."
nonpython,testem-bail-on-test-failure,sol_4,implementation,0,1,0,0,0,"Invalid configuration did not log through the required npmlog contract."
nonpython,oxvg-structural-selector-preservation,luna_1,implementation,0,6,0,0,0,"Attempted structural implication tracking did not protect matching rewrites and omitted remove-empty integration."
nonpython,oxvg-structural-selector-preservation,luna_3,implementation,0,2,0,0,0,"Implemented collapse-groups protection but omitted remove-empty-container rewrites."
nonpython,oxvg-structural-selector-preservation,terra_1,implementation,0,2,0,0,0,"Implemented collapse-groups protection but omitted remove-empty-container rewrites."
nonpython,oxvg-structural-selector-preservation,terra_2,implementation,0,2,0,0,0,"Implemented collapse-groups protection but omitted remove-empty-container rewrites."
nonpython,oxvg-structural-selector-preservation,terra_3,implementation,0,6,0,0,0,"Attempted structural marking did not protect matching rewrites and omitted remove-empty integration."
nonpython,oxvg-structural-selector-preservation,sol_2,implementation,0,2,0,0,0,"Implemented collapse-groups protection but omitted remove-empty-container rewrites."
nonpython,oxvg-structural-selector-preservation,sol_3,implementation,0,2,0,0,0,"Implemented collapse-groups protection but omitted remove-empty-container rewrites."
nonpython,obsidian-linter-auto-table-of-contents,luna_1,mixed,4,7,30,0,0,"Conflated anchor normalization with visible TOC text and missed marker, ignore, and empty-range behavior; 30 passing checks were mis-scored by suite-name matching."
nonpython,obsidian-linter-auto-table-of-contents,luna_2,mixed,4,3,34,0,0,"Conflated anchor normalization with visible TOC text and missed marker and empty-range behavior; 34 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,luna_3,mixed,4,6,31,0,0,"Conflated anchor normalization with visible TOC text and missed marker, formatting, and empty-range behavior; 31 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,luna_4,mixed,4,2,35,0,0,"Conflated anchor normalization with visible TOC text and missed missing/end-marker behavior; 35 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,terra_1,mixed,4,2,35,0,0,"Conflated anchor normalization with visible TOC text and missed tolerant marker matching; 35 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,terra_2,mixed,4,1,36,0,0,"Conflated anchor normalization with visible TOC text and missed empty-range behavior; 36 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,terra_3,implementation,0,1,40,0,0,"Only empty-range behavior failed, while 40 passing checks were mis-scored by the changed suite label."
nonpython,obsidian-linter-auto-table-of-contents,terra_4,implementation,0,41,0,0,0,"No patch was submitted, so the feature suite could not import AutoToc."
nonpython,obsidian-linter-auto-table-of-contents,sol_1,normative,4,0,0,0,0,"Conflated anchor normalization with visible TOC link and image text."
nonpython,obsidian-linter-auto-table-of-contents,sol_2,normative,4,0,37,0,0,"Conflated anchor normalization with visible TOC link and image text; 37 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,sol_3,mixed,4,1,36,0,0,"Conflated anchor normalization with visible TOC text and missed empty-range behavior; 36 passing checks were mis-scored."
nonpython,obsidian-linter-auto-table-of-contents,sol_4,normative,4,0,37,0,0,"Conflated anchor normalization with visible TOC link and image text; 37 passing checks were mis-scored."
nonpython,helm-unified-manifest-stream,luna_4,implementation,0,5,0,0,0,"No model patch was submitted; all unified-stream surfaces remained at base behavior."
nonpython,helm-unified-manifest-stream,sol_3,implementation,0,5,0,0,0,"No model patch was submitted; all unified-stream surfaces remained at base behavior."
nonpython,helm-unified-manifest-stream,sol_4,implementation,0,5,0,0,0,"No model patch was submitted; all unified-stream surfaces remained at base behavior."
nonpython,fd-deterministic-multi-key-sorting,luna_2,normative,1,0,0,0,0,"Deliberately used digit-run length to distinguish 007 from 7 despite numeric equality."
nonpython,fd-deterministic-multi-key-sorting,luna_3,normative,1,0,0,0,0,"Deliberately used digit-run length to distinguish 007 from 7 despite numeric equality."
nonpython,fd-deterministic-multi-key-sorting,luna_4,normative,1,0,0,0,0,"Deliberately used digit-run length to distinguish 007 from 7 despite numeric equality."
nonpython,fd-deterministic-multi-key-sorting,terra_3,implementation,0,43,0,0,0,"No model patch was submitted; every sorting feature remained unimplemented."
