instance_id,repo,language_group,base_commit,query_chars,target_blocks,candidate_span_coverage,bm25/span_recall@1,bm25/span_recall@5,bm25/span_recall@10,bm25/file_recall@5,bm25/span_mrr,Qwen/Qwen3-Reranker-0.6B/span_recall@1,Qwen/Qwen3-Reranker-0.6B/span_recall@5,Qwen/Qwen3-Reranker-0.6B/span_recall@10,Qwen/Qwen3-Reranker-0.6B/file_recall@5,Qwen/Qwen3-Reranker-0.6B/span_mrr,Qwen/Qwen3-Reranker-0.6B/rerank_mean_ms,Qwen/Qwen3-Reranker-0.6B/failed_observations,Qwen/Qwen3-Reranker-4B/span_recall@1,Qwen/Qwen3-Reranker-4B/span_recall@5,Qwen/Qwen3-Reranker-4B/span_recall@10,Qwen/Qwen3-Reranker-4B/file_recall@5,Qwen/Qwen3-Reranker-4B/span_mrr,Qwen/Qwen3-Reranker-4B/rerank_mean_ms,Qwen/Qwen3-Reranker-4B/failed_observations,Qwen/Qwen3-Reranker-8B/span_recall@1,Qwen/Qwen3-Reranker-8B/span_recall@5,Qwen/Qwen3-Reranker-8B/span_recall@10,Qwen/Qwen3-Reranker-8B/file_recall@5,Qwen/Qwen3-Reranker-8B/span_mrr,Qwen/Qwen3-Reranker-8B/rerank_mean_ms,Qwen/Qwen3-Reranker-8B/failed_observations,typesafe/jev-1.13/span_recall@1,typesafe/jev-1.13/span_recall@5,typesafe/jev-1.13/span_recall@10,typesafe/jev-1.13/file_recall@5,typesafe/jev-1.13/span_mrr,typesafe/jev-1.13/rerank_mean_ms,typesafe/jev-1.13/failed_observations
axios__axios-5085,axios/axios,TypeScript/JavaScript,85740c3e7a1fa48346dfcbd4497f463ccb1c1b05,1201,1,1.0,0.0,0.0,0.0,0.5,0.023809523809523808,0.0,0.0,1.0,0.5,0.16666666666666666,585.0016702897847,0,0.0,1.0,1.0,0.5,0.3333333333333333,1824.1622527129948,0,0.0,1.0,1.0,0.5,0.5,2616.7951123788953,0,1.0,1.0,1.0,0.5,1.0,1512.6583548262715,0
axios__axios-6539,axios/axios,TypeScript/JavaScript,c6cce43cd94489f655f4488c5a50ecaf781c94f2,3824,1,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.058823529411764705,983.4773768670857,0,0.0,0.0,0.0,0.0,0.07692307692307693,2971.767937298864,0,0.0,0.0,1.0,1.0,0.14285714285714285,4146.218003239483,0,1.0,1.0,1.0,1.0,1.0,1382.8404727391899,0
babel__babel-13928,babel/babel,TypeScript/JavaScript,5134505bf93013c5fa7df66704df8d04becb7f7d,1029,1,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333,650.0660814344883,0,0.0,1.0,1.0,1.0,0.2,1974.2199713364244,0,1.0,1.0,1.0,1.0,1.0,2814.8208647035062,0,0.5,1.0,1.0,1.0,0.75,2193.1297201663256,0
babel__babel-14532,babel/babel,TypeScript/JavaScript,fbd065256ca00d68089293ad48ea9aeba5481914,2223,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.4639325551689,0,0.0,0.0,0.0,0.0,0.0,3797.9409089311957,0,0.0,0.0,0.0,0.0,0.0,5217.2457138076425,0,0.0,0.0,0.0,0.0,0.0,1348.2261188328266,0
babel__babel-15445,babel/babel,TypeScript/JavaScript,49e4855c10d8f76faf477f2ceb5ecbdbe2c849a3,5790,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.00222671777,0,0.0,0.0,0.0,0.0,0.0,5370.439261663705,0,0.0,0.0,0.0,0.0,0.0,7357.418684288859,0,0.0,0.0,0.0,0.0,0.0,1527.8408220037818,0
babel__babel-15649,babel/babel,TypeScript/JavaScript,35116224d21e16fb863293f9011d1d6c97ed0bf4,1308,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,766.2694747559726,0,0.0,0.0,0.0,1.0,0.0,2331.5163371153176,0,0.0,0.0,0.0,1.0,0.0,3307.774684857577,0,0.0,0.0,0.0,1.0,0.0,1550.4324869252741,0
caddyserver__caddy-4943,caddyserver/caddy,Go,7f6a328b4744bbdd5ee07c5eccb3f897390ff982,2966,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.79624434188,0,0.0,0.0,0.0,0.0,0.0,4892.606244888157,0,0.0,0.0,0.0,0.0,0.0,6660.301261115819,0,0.0,0.0,0.0,0.0,0.0,1611.5381619893014,0
caddyserver__caddy-5404,caddyserver/caddy,Go,960150bb034dc9a549ee7289b1a4eb4abafeb30a,3408,2,1.0,0.0,0.0,0.5,1.0,0.1,0.0,0.5,1.0,1.0,0.2,1765.900163911283,0,0.5,0.5,1.0,1.0,1.0,5381.765514146537,0,0.5,1.0,1.0,1.0,1.0,7350.4117405973375,0,0.5,0.5,1.0,1.0,1.0,1554.652085993439,0
caddyserver__caddy-5761,caddyserver/caddy,Go,0a6d3333b2c92553e66c93c14d3258a790aac639,277,1,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,596.5347001329064,0,1.0,1.0,1.0,1.0,1.0,1870.6973777152598,0,1.0,1.0,1.0,1.0,1.0,2702.0679293200374,0,1.0,1.0,1.0,1.0,1.0,1453.8915464654565,0
caddyserver__caddy-5870,caddyserver/caddy,Go,fae195ac7eb9f4b0e9436384cd0529a11355e367,1807,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.3845524340868,0,0.0,0.0,0.0,0.0,0.0,2848.7191409803927,0,0.0,0.0,0.0,0.0,0.0,4013.267457485199,0,0.0,0.0,0.0,0.0,0.0,492.08618234843016,2
caddyserver__caddy-6115,caddyserver/caddy,Go,4512be49a9fa55270e9afa632be9ff6c9560c455,1092,1,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,850.1946083270013,0,1.0,1.0,1.0,1.0,1.0,2655.040754005313,0,1.0,1.0,1.0,1.0,1.0,3751.863893121481,0,1.0,1.0,1.0,1.0,1.0,1475.2461756579578,0
facebook__docusaurus-10130,facebook/docusaurus,TypeScript/JavaScript,02e38d8ccf7811af27a9c15ddbadf4d26cfc0eab,2744,1,1.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1096.9442017376423,0,1.0,1.0,1.0,1.0,1.0,3290.496211964637,0,1.0,1.0,1.0,1.0,1.0,4561.140069272369,0,1.0,1.0,1.0,1.0,1.0,1475.8084896020591,0
facebook__docusaurus-10309,facebook/docusaurus,TypeScript/JavaScript,5e9e1d051b2217b95498ecbc10f7e33f64e7a4d3,3208,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.9056239798665,0,0.0,0.0,0.0,0.0,0.0,3421.635454054922,0,0.0,0.0,0.0,0.0,0.0,4722.47630963102,0,0.0,0.0,0.0,0.0,0.0,1481.2920792028308,0
facebook__docusaurus-8927,facebook/docusaurus,TypeScript/JavaScript,41f1c1e3c26ad1e24acd3306077e2534dd8fa0db,1826,1,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.25,841.609485913068,0,0.0,1.0,1.0,1.0,0.5,2591.7476774193347,0,0.0,1.0,1.0,1.0,0.3333333333333333,3642.4357909709215,0,0.0,1.0,1.0,1.0,0.29166666666666663,1805.1664778031409,0
facebook__docusaurus-9897,facebook/docusaurus,TypeScript/JavaScript,0589b1475d56b0b541348aa56f201ec7c56c56d5,1721,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.3617144450545,0,0.0,0.0,0.0,1.0,0.0,2697.6167522370815,0,0.0,0.0,0.0,0.0,0.0,3806.4321856945753,0,0.0,0.0,0.0,1.0,0.0,1714.3097296357155,0
fmtlib__fmt-2310,fmtlib/fmt,C++/C,7612f18dc8e0112e64e0845a1ebe9da6cfb8a123,544,2,1.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.5,1.0,1.0,1.0,1.0,534.8422890529037,0,0.5,1.0,1.0,1.0,1.0,1678.7436353042722,0,0.0,1.0,1.0,1.0,0.5,2399.8305588029325,0,0.0,0.5,1.0,1.0,0.5,1481.7935349419713,0
fmtlib__fmt-2317,fmtlib/fmt,C++/C,ece4b4b33a96db77beccca3957505e689cbc4279,607,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,586.5815486758947,0,0.0,0.0,0.0,1.0,0.0,1822.9061365127563,0,0.0,0.0,0.0,1.0,0.0,2599.1413588635623,0,0.0,0.0,0.0,1.0,0.0,1486.622924450785,0
fmtlib__fmt-3248,fmtlib/fmt,C++/C,840ec8569ddb304345f082bb82d733742f431504,380,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,581.2539020553231,0,0.0,0.0,0.0,1.0,0.0,1752.278226427734,0,0.0,0.0,0.0,1.0,0.0,2514.4763900898397,0,0.0,0.0,0.0,1.0,0.0,1531.0088377445936,0
gin-gonic__gin-1805,gin-gonic/gin,Go,70a0aba3e423246be37462cfdaedd510c26c566e,613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.7622615545988,0,0.0,0.0,0.0,1.0,0.0,1473.085108678788,0,0.0,0.0,0.0,1.0,0.0,2114.6805249154568,0,0.0,0.0,0.0,1.0,0.0,1281.2779797241092,0
gin-gonic__gin-2121,gin-gonic/gin,Go,2ee0e963942d91be7944dfcc07dc8c02a4a78566,2222,1,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,689.2561027780175,0,0.0,1.0,1.0,1.0,0.5,2089.1390913166106,0,1.0,1.0,1.0,1.0,1.0,2942.483490332961,0,1.0,1.0,1.0,1.0,1.0,1439.8461505770683,0
gin-gonic__gin-2755,gin-gonic/gin,Go,f2bbdfe9f26d84cb994f381050692a9e4553bf75,1892,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.6660573221743,0,0.0,0.0,0.0,0.0,0.0,1985.7745482586324,0,0.0,0.0,0.0,0.0,0.0,2843.7762982212007,0,0.0,0.0,0.0,0.0,0.0,1495.860405266285,0
gin-gonic__gin-3741,gin-gonic/gin,Go,c2ba8f19ec19914b73290c53a32de479cd463555,453,1,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,1.0,1.0,1.0,1.0,456.43938053399324,0,1.0,1.0,1.0,1.0,1.0,1332.2469415143132,0,1.0,1.0,1.0,1.0,1.0,1922.3163486458361,0,1.0,1.0,1.0,1.0,1.0,1371.1194042116404,0
gin-gonic__gin-3820,gin-gonic/gin,Go,9f598a31aafb92d675f38f1c8371e4ac76f858bf,2767,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0375746227801,0,0.0,0.0,0.0,0.0,0.0,3084.7263312898576,0,0.0,0.0,0.0,0.0,0.0,4256.193621549755,0,0.0,0.0,0.0,0.0,0.0,1479.9726787023246,0
gohugoio__hugo-12171,gohugoio/hugo,Go,a322282e70c2935c79f9c0f5c593bfdd032eb964,2281,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.4557064846158,0,0.0,0.0,0.0,0.0,0.0,3487.3399292118847,0,0.0,0.0,0.0,0.0,0.0,4806.078655645251,0,0.0,0.0,0.0,0.0,0.0,1519.4828589446843,0
gohugoio__hugo-12343,gohugoio/hugo,Go,060cce0a910ffd9dc4e92efbe758fc5f187c3145,550,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.5409106090665,0,0.0,0.0,0.0,0.0,0.0,2364.0316911041737,0,0.0,0.0,0.0,0.0,0.0,3352.899231016636,0,0.0,0.0,0.0,0.0,0.0,1374.295859131962,0
gohugoio__hugo-12448,gohugoio/hugo,Go,196132753649e6e714f05c83122737cabd0da310,1630,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.3549054972827,0,0.0,0.0,0.0,0.0,0.0,2517.0991234481335,0,0.0,0.0,0.0,0.0,0.0,3535.951219499111,0,0.0,0.0,0.0,0.0,0.0,1367.35231988132,0
gohugoio__hugo-12562,gohugoio/hugo,Go,c8dac67defbb512877e974814e196782989b8214,1351,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.2258698344231,0,0.0,0.0,0.0,0.0,0.0,2303.2295098528266,0,0.0,0.0,0.0,0.0,0.0,3294.773839879781,0,0.0,0.0,0.0,0.0,0.0,1375.7272670045495,0
gohugoio__hugo-12579,gohugoio/hugo,Go,9c4e14eb4f890d2a3caad2dcd9209609b7274914,954,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,860.800695605576,0,1.0,1.0,1.0,1.0,1.0,2548.6223129555583,0,1.0,1.0,1.0,1.0,1.0,3561.470764223486,0,1.0,1.0,1.0,1.0,1.0,1477.566275279969,0
hashicorp__terraform-34814,hashicorp/terraform,Go,310331bdc6b747b68b2e2dd6be257dfc78677973,2405,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.4307735785842,0,0.0,0.0,0.0,0.0,0.0,2905.893374234438,0,0.0,0.0,0.0,0.0,0.0,4068.0432934314013,0,0.0,0.0,0.0,0.0,0.0,1286.6455987095833,2
hashicorp__terraform-35611,hashicorp/terraform,Go,047c1af0b4a9e1e650f3811d011bcb92b2ceb15a,4840,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.920751683414,0,0.0,0.0,0.0,0.0,0.0,4847.48928854242,0,0.0,0.0,0.0,0.0,0.0,6641.904556192458,0,0.0,0.0,0.0,0.0,0.0,1879.543480463326,0
jqlang__jq-2235,jqlang/jq,C++/C,b8816caf0a7f58c6483f4344e222a6fea47732e8,410,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,741.4780086837709,0,0.0,0.0,0.0,1.0,0.0,2326.139292679727,0,0.0,0.0,0.0,1.0,0.0,3282.6443519443274,0,0.0,0.0,0.0,1.0,0.0,1567.590095102787,0
jqlang__jq-2598,jqlang/jq,C++/C,4dc2a2fb9df94ec45d107b798173c7db9c695a7f,891,4,0.5,0.0,0.25,0.25,0.3333333333333333,0.25,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666,900.2777868881822,0,0.25,0.25,0.5,0.3333333333333333,1.0,2638.6435725726187,0,0.25,0.25,0.25,0.3333333333333333,1.0,3731.4717997796834,0,0.25,0.375,0.5,0.3333333333333333,1.0,2002.5552702136338,0
jqlang__jq-2658,jqlang/jq,C++/C,c077b95ba2dcaafee39e302cc086bf99fa9248d0,609,1,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.14285714285714285,778.477780520916,0,0.0,1.0,1.0,1.0,0.3333333333333333,2275.3864750266075,0,0.0,1.0,1.0,1.0,0.5,3241.5107213892043,0,0.0,1.0,1.0,1.0,0.5,1467.1511906199157,0
jqlang__jq-2728,jqlang/jq,C++/C,87e3dfddb80015bd71259a4a295ca73bed398bd2,640,1,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,791.5876018814743,0,1.0,1.0,1.0,1.0,1.0,2313.1813765503466,0,1.0,1.0,1.0,1.0,1.0,3296.506547834724,0,1.0,1.0,1.0,1.0,1.0,1676.138250157237,0
jqlang__jq-2750,jqlang/jq,C++/C,98f709d0c1fd87a8b6a3e10c679442667712b264,770,4,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,697.8525095619261,0,0.25,0.75,1.0,0.5,1.0,2092.9699866101146,0,0.25,1.0,1.0,0.5,1.0,2951.545675750822,0,0.25,1.0,1.0,0.5,1.0,1534.4410669058561,0
matplotlib__matplotlib-13989,matplotlib/matplotlib,Python,a3e2897bfaf9eaac1d6649da535c4e721c89fa69,1714,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,941.7649647220969,0,1.0,1.0,1.0,1.0,1.0,2816.2266691215336,0,1.0,1.0,1.0,1.0,1.0,3955.846879631281,0,1.0,1.0,1.0,1.0,1.0,1526.305925566703,0
matplotlib__matplotlib-14623,matplotlib/matplotlib,Python,d65c9ca20ddf81ef91199e6d819f9d3506ef477c,1117,6,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,824.5632075704634,0,0.0,0.0,0.0,0.6666666666666666,0.0,2458.7953095324337,0,0.0,0.0,0.0,0.6666666666666666,0.0,3472.615440841764,0,0.0,0.0,0.0,0.6666666666666666,0.0,1406.999554950744,0
matplotlib__matplotlib-20488,matplotlib/matplotlib,Python,b7ce415c15eb39b026a097a2865da73fbcf15c9c,1952,1,1.0,0.0,0.0,0.0,0.0,0.0625,0.0,1.0,1.0,1.0,0.5,873.4923857264221,0,0.0,1.0,1.0,1.0,0.5,2693.4169065207243,0,1.0,1.0,1.0,1.0,1.0,3790.9916643984616,0,0.0,1.0,1.0,1.0,0.5,1300.0476155430079,0
matplotlib__matplotlib-20676,matplotlib/matplotlib,Python,6786f437df54ca7780a047203cbcfaa1db8dc542,1645,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,774.501150008291,0,0.0,0.0,0.0,1.0,0.0,2378.889518789947,0,0.0,0.0,0.0,1.0,0.0,3368.468424770981,0,0.0,0.0,0.0,1.0,0.0,1586.0955971293151,0
micropython__micropython-10095,micropython/micropython,C++/C,cc26bf7406dac7822de347d14a9935c101d7e8aa,701,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.7192279323936,0,0.0,0.0,0.0,0.0,0.0,2320.780655834824,0,0.0,0.0,0.0,0.0,0.0,3295.1823584735394,0,0.0,0.0,0.0,0.0,0.0,1497.74210434407,0
micropython__micropython-13039,micropython/micropython,C++/C,fce8d9fd55409ab1027beee5671bc653fb5beb97,3563,1,1.0,0.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.2,1628.1302822753787,0,1.0,1.0,1.0,1.0,1.0,4902.666303794831,0,1.0,1.0,1.0,1.0,1.0,6716.188536025584,0,1.0,1.0,1.0,1.0,1.0,1816.985699813813,0
micropython__micropython-13569,micropython/micropython,C++/C,2d7fb9a715d8c9f1f7ba73a62cfd587fa6ffc24a,677,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.8257776424289,0,0.0,0.0,0.0,1.0,0.0,1480.3719511255622,0,0.0,0.0,0.0,1.0,0.0,2109.4224071130157,0,0.0,0.0,0.0,1.0,0.0,1306.4961023628712,0
micropython__micropython-15898,micropython/micropython,C++/C,b0ba151102a6c1b2e0e4c419c6482a64677c9b40,605,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,731.7758509889245,0,1.0,1.0,1.0,1.0,1.0,2275.5271987989545,0,1.0,1.0,1.0,1.0,1.0,3204.1118927299976,0,1.0,1.0,1.0,1.0,1.0,1539.792012423277,0
nushell__nushell-12901,nushell/nushell,Rust,cc9f41e553333b1ad0aa4185a912f7a52355a238,2373,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,871.2623193860054,0,0.0,0.0,0.0,1.0,0.0,2642.4966529011726,0,0.0,0.0,0.0,1.0,0.0,3710.987196303904,0,0.0,0.0,0.0,1.0,0.0,1478.598438668996,0
nushell__nushell-12950,nushell/nushell,Rust,0c5a67f4e5bf17a2fffbe3cbb54792a6464b3237,1875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.7678404040635,0,0.0,0.0,0.0,0.0,0.0,2411.5029219537973,0,0.0,0.0,0.0,0.0,0.0,3406.2452372163534,0,0.0,0.0,0.0,0.0,0.0,2033.5617321543396,0
nushell__nushell-13605,nushell/nushell,Rust,48e401834d604563106a6ef3738a996d38c790ca,2409,2,0.5,0.0,0.0,0.5,1.0,0.125,0.0,0.5,0.5,1.0,0.2,893.9406098797917,0,0.0,0.5,0.5,1.0,0.5,2616.052205208689,0,0.5,0.5,0.5,1.0,1.0,3699.728746432811,0,0.5,0.5,0.5,1.0,1.0,1496.0241923108697,0
nushell__nushell-13831,nushell/nushell,Rust,fb34a4fc6c9ca882cc6dc95d437902a45c402e9a,3128,6,0.6666666666666666,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1127.526824362576,0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,3436.913549900055,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,4740.10552931577,0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1371.7196169309318,0
preactjs__preact-2757,preactjs/preact,TypeScript/JavaScript,b17a932342bfdeeaf1dc0fbe4f436c83e258d6c8,1056,1,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.07692307692307693,644.406926818192,0,0.0,1.0,1.0,1.0,0.5,1898.3293143101037,0,0.0,1.0,1.0,1.0,0.5,2698.1689888052642,0,0.0,1.0,1.0,1.0,0.5,2175.9998188354075,0
preactjs__preact-2896,preactjs/preact,TypeScript/JavaScript,a9f7e676dc03b5008b8483e0937fc27c1af8287f,1757,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,841.724154073745,0,0.0,0.0,0.0,1.0,0.0,2612.4921897426248,0,0.0,0.0,0.0,1.0,0.0,3685.519522987306,0,0.0,0.0,0.0,1.0,0.0,1316.2286151200533,0
