corpus,task,trial,category,agent_evidence,artifact_verifier_evidence,counterfactual
python,fastapi-implicit-head-options,luna_3,implementation,"M3 explicitly required implicit HEAD to preserve the original dependency/validation/response pipeline.","Its wrapper called endpoints with a Request positional argument and broke zero-argument/dependency paths; 9 checks failed.","The framework-dispatch obligation was represented; delegation was implemented incorrectly."
python,fastapi-implicit-head-options,luna_4,implementation,"M4-M6 explicitly checked OpenAPI exclusion and restored APIRoute scope behavior.","Feature checks passed, but synthesized routes still perturbed six OpenAPI snapshot cases (3 scored P2P failures).","The invariant was known and tested; schema integration remained mechanically wrong."
python,fastapi-implicit-head-options,terra_1,obligation_model,"M2-M4 covered inclusion and ordinary path-level behavior but never represented empty/relative callback routes.","An assertion that every path starts with / broke collection across callbacks and router forms, causing 3134 P2P failures.","The missing existing-path invariant changes constructor validation and compatibility tests."
python,fastapi-implicit-head-options,terra_2,obligation_model,"M3-M5 represented core dispatch but did not enumerate every non-GET helper and documented public signature.","OPTIONS propagation and signature consistency failed three F2P and one P2P check.","A complete helper/signature obligation inventory changes patch and test scope."
python,fastapi-implicit-head-options,terra_3,implementation,"M3 explicitly found that every HTTP-method decorator needed the options threaded through it.","A non-GET helper still returned 405 for auto_options; one check failed.","The exact propagation surface was already represented; one forwarding edit was wrong/missing."
python,fastapi-implicit-head-options,terra_4,implementation,"M4-M5 explicitly claimed repeated inclusion, OpenAPI exclusion, and independent precedence passed.","Router reuse leaked state and implicit routes entered OpenAPI, failing one F2P and 273 P2P checks.","The exact obligations were represented; shared-state/schema wiring was defective."
python,sqlite-utils-safe-import-checkpoints,luna_3,implementation,"M3-M7 explicitly included UPDATE safe bulk behavior and claimed invariant smoke/full-suite success.","A bulk UPDATE violation exited zero instead of rolling back/reporting failure; one check failed.","The UPDATE obligation was already represented; validation/exit wiring was wrong."
python,sqlite-utils-safe-import-checkpoints,terra_1,obligation_model,"M2-M4 modeled snapshots and CLI generally, but never represented reopened persisted-safe-state plus CLI upsert as one path.","A valid JSON upsert against the reopened database exited one; one check failed.","The composed lifecycle/command obligation adds an actionable end-to-end case."
python,sqlite-utils-safe-import-checkpoints,terra_2,implementation,"M2-M4 explicitly identified helper commits destroying savepoints and claimed to suppress them, including nested checks.","Existing insert/upsert helpers still released savepoints; rollback/lifecycle/upsert failed 10 checks.","The exact transaction interaction was known; commit suppression was implemented incorrectly."
python,sqlite-utils-safe-import-checkpoints,terra_3,mixed,"M2 identified the helper-commit boundary and M5 claimed CLI paths passed, but scoped the transaction analysis around insert rather than every upsert helper.","Upsert still lost savepoints, while CLI bulk also raised a mechanical NameError from a missing re import; 6 checks failed.","The upsert transaction obligation adds scope; the missing import remains implementation failure."
nonpython,testem-bail-on-test-failure,luna_1,obligation_model,"M1-M5 mapped broad runner/adapter/output surfaces, but did not represent TapProcessRunner or the exact one-shot adapter completion/count obligations.","TapProcessRunner, adapter completion/queue behavior, and testsRanBeforeBail output failed 15 checks.","Naming those concrete runner/callback/count obligations changes patch and test scope."
nonpython,testem-bail-on-test-failure,luna_2,mixed,"M4 explicitly claimed all four output formats were implemented, but M5's test plan still omitted exact adapter one-shot/deferred obligations.","All formatter bail output was wired incorrectly, while adapter completion and count surfaces were absent; 33 checks failed.","Formatter obligations add no information and failed in construction; adapter/count obligations add scope."
nonpython,testem-bail-on-test-failure,luna_3,mixed,"M5 explicitly handled TAP/process/browser abort finalization and M6 required the bail exit message to use getBailReport, but exact adapter completion/queue obligations were not represented.","Count/report wiring still failed and adapters omitted one-shot completion behavior; 12 checks failed.","Known report/runner behavior failed mechanically; missing callback obligations change scope."
nonpython,testem-bail-on-test-failure,luna_4,mixed,"M3-M4 explicitly exercised threshold, failure maps, suppression, reset, and idempotent abort, but omitted TapProcessRunner and exact QUnit/Mocha completion obligations.","Core represented state/report behavior was broken and 7 P2P checks regressed; omitted runner/adapter paths also failed, for 54 reported failures.","Restating known state adds no information; naming omitted runner/callback paths does."
nonpython,testem-bail-on-test-failure,terra_1,obligation_model,"M2 mapped format reporters and adapters only at component level, with no exact formatter metadata, invalid-warning, or completion obligations.","All format summaries plus invalid logging failed 25 checks.","The missing observable-output/callback obligations change tests and implementation detail."
nonpython,testem-bail-on-test-failure,terra_2,mixed,"M3 explicitly called out deferred browser emissions and claimed adapter tests passed, but never represented the invalid-config warning contract.","Jasmine2/Mocha/QUnit one-shot completion still failed; invalid warning also failed, totaling 7 checks.","Adapter obligation was known and implemented incorrectly; warning obligation adds scope."
nonpython,testem-bail-on-test-failure,terra_3,obligation_model,"M1-M4 remained at component-level plumbing and never represented exact adapter completion/queue or invalid-warning behavior.","Those omitted behaviors account for all 8 failed checks.","Stating them explicitly changes patch and test scope."
nonpython,testem-bail-on-test-failure,terra_4,obligation_model,"M2-M4 focused aggregate state/reset and generic browser cancellation, not one-shot framework completion or npmlog warning content.","Adapter completion/queue and invalid warning failed all 8 checks.","The missing callback/logging obligations add actionable tests and edits."
nonpython,testem-bail-on-test-failure,sol_2,implementation,"M3-M6 explicitly represented config validation and the patch used npmlog.warn with bail_on_test_failure as prefix.","Only the warning message construction omitted wording identifying the value as invalid; one check failed.","The exact condition, logger, and path were known; message construction was mechanically incomplete."
nonpython,testem-bail-on-test-failure,sol_3,implementation,"M3-M6 and authored tests explicitly covered config validation through npmlog.","The warning used the required API/prefix but its text did not match the invalid-value contract; one check failed.","Restating validation adds no new path; the emitted string was defective."
nonpython,testem-bail-on-test-failure,sol_4,implementation,"M3-M5 and focused tests explicitly covered threshold validation and logging through the required reporter path.","Only the warning wording failed to identify invalid input; one check failed.","The obligation was already represented; output construction was incomplete."
nonpython,oxvg-structural-selector-preservation,luna_1,mixed,"M2-M5 explicitly modeled collapse_groups anchors/targets, but treated that pass as the entire rewrite surface.","Its attempted selector marking failed all four collapse checks, and remove_empty_containers was never considered; 6 checks failed.","Collapse obligations were known but implemented incorrectly; naming the second rewrite adds scope."
nonpython,oxvg-structural-selector-preservation,luna_3,obligation_model,"M2-M4 deliberately scoped protection to collapse_groups and declared the review complete.","Both collapse checks passed, but both remove_empty_containers obligations failed.","Stating that every structure-changing rewrite must preserve selector relations changes patch scope."
nonpython,oxvg-structural-selector-preservation,terra_1,obligation_model,"M2-M4 modeled only simulated group flattening.","collapse_groups passed and remove_empty_containers failed both checks.","The omitted rewrite obligation adds a second component and tests."
nonpython,oxvg-structural-selector-preservation,terra_2,obligation_model,"M2-M3 explicitly limited the pre-pass consumer to collapseGroups.","Both remove_empty_containers selector-preservation checks failed.","Naming the second rewrite changes plan and patch surface."
nonpython,oxvg-structural-selector-preservation,terra_3,mixed,"M2-M4 explicitly represented concrete anchors/targets for collapseGroups but omitted other structural rewrites.","The attempted collapse protection failed four checks and remove_empty_containers failed two more.","Known collapse behavior failed in implementation; the second pass is a missing obligation."
nonpython,oxvg-structural-selector-preservation,sol_2,obligation_model,"M2-M8 built an extensive collapse simulation model and treated it as the complete optimizer surface.","All collapse checks passed, but both remove_empty_containers cases failed.","The missing affected-rewrite obligation changes the component inventory."
nonpython,oxvg-structural-selector-preservation,sol_3,obligation_model,"M2-M4 enumerated collapse targets/anchors only and declared all scoping requirements satisfied.","remove_empty_containers still removed an implicated target and sibling anchor; 2 checks failed.","Stating the invariant for that rewrite adds actionable scope."
nonpython,obsidian-linter-auto-table-of-contents,luna_1,obligation_model,"M3-M4 used one cleanup model for anchors and visible link text and did not represent several marker/empty-region conditions.","The implementation stripped visible Markdown/wiki formatting contrary to the option contract and missed marker/empty cases; 11 real checks failed.","Separating anchor normalization from visible text and naming boundary cases changes implementation/tests."
nonpython,obsidian-linter-auto-table-of-contents,luna_2,obligation_model,"M3-M4 claimed generic marker/option coverage but tests encoded the same anchor/display cleanup assumption as the patch.","Visible formatting plus marker/empty-region behavior caused 7 real failures.","Correct display and concrete boundary obligations change expectations and test scope."
nonpython,obsidian-linter-auto-table-of-contents,luna_3,obligation_model,"M3's three focused cases did not represent display-format preservation or the broader marker/empty surface.","Formatting and boundary omissions caused 10 real failures.","The missing obligations add semantic expectations and cases."
nonpython,obsidian-linter-auto-table-of-contents,luna_4,mixed,"M4-M5 explicitly targeted EOF, missing-end, and post-TOC marker boundaries, but used the wrong visible-formatting model.","Known marker handling still failed two checks mechanically, while four display-format obligations were incorrect/incomplete.","Boundary obligations were represented but misimplemented; correcting display semantics adds information."
nonpython,obsidian-linter-auto-table-of-contents,terra_1,obligation_model,"M1-M3 focused settings/anchors and never represented tolerant case/whitespace markers or visible-format preservation.","Those omitted/misunderstood obligations caused 6 real failures.","Stating them changes marker matching, rendering, and tests."
nonpython,obsidian-linter-auto-table-of-contents,terra_2,obligation_model,"M4 listed marker update and formatting only generically; it did not distinguish empty regions or anchor text from rendered text.","Four display-format and one empty-region checks really failed.","The corrected obligations add both a semantic split and a boundary case."
nonpython,obsidian-linter-auto-table-of-contents,terra_3,obligation_model,"M2-M5 discussed ignored TOC spans and explicit IDs but not a marker pair enclosing no headings.","Only empty-range behavior really failed; the other 40 recorded failures were name-matching artifacts.","The missing empty-range obligation adds a discriminating boundary test."
nonpython,obsidian-linter-auto-table-of-contents,terra_4,operational_invalid,"M3-M6 described a completed staged rule but stopped when Git author identity was unavailable.","The submitted model.patch was empty, so all 41 feature checks failed to import AutoToc.","An empty artifact provides no evidence for either causal category."
nonpython,obsidian-linter-auto-table-of-contents,sol_1,obligation_model,"M3-M6 claimed anchor cleanup and option coverage, but authored expectations conflated anchor normalization with visible link/image text.","Exactly four formatting semantics checks failed.","A separate rendered-text obligation changes expectations and patch logic."
nonpython,obsidian-linter-auto-table-of-contents,sol_2,obligation_model,"M3-M5 used a single anchor-text cleanup model and did not preserve visible formatting under the option.","Four real formatting checks failed; 37 passes were mis-scored by suite-name matching.","Correct display obligations change authored tests and rendering."
nonpython,obsidian-linter-auto-table-of-contents,sol_3,obligation_model,"M4 reviewed marker placement and anchor normalization, but did not represent empty-range behavior or separate visible formatting.","Four formatting plus one empty-region check really failed.","The missing/corrected obligations change both semantic and boundary tests."
nonpython,obsidian-linter-auto-table-of-contents,sol_4,obligation_model,"M3-M6 covered parsing/options but tests encoded the same wrong visible-format cleanup.","Four real formatting checks failed; 37 passing checks were grader name artifacts.","Correct rendered-text obligations change tests and implementation."
nonpython,helm-unified-manifest-stream,luna_4,operational_invalid,"M2-M6 represented and tested the unified stream, then M7-M8 stopped for missing DCO author identity.","The submitted model.patch was empty; all five feature checks ran against the base repository.","No submitted artifact exists from which to infer either causal category."
nonpython,helm-unified-manifest-stream,sol_3,operational_invalid,"M2-M10 implemented and tested all command paths, but M11-M12 stopped at DCO author identity.","The submitted model.patch was empty; all five feature checks exercised base behavior.","This is an artifact handoff failure, not evidence of an obligation or implementation cause."
nonpython,helm-unified-manifest-stream,sol_4,operational_invalid,"M2-M8 implemented/tested the shared formatter, but M9-M10 stopped before commit for DCO identity.","The submitted model.patch was empty; all five feature checks exercised base behavior.","No submitted implementation is available for causal coding."
nonpython,fd-deterministic-multi-key-sorting,luna_2,obligation_model,"M4 claimed natural ordering passed, but the comparator/test model deliberately used digit-run length after numeric equality.","Leading-zero forms that must compare equal numerically were ordered as unequal; one check failed.","The corrected equality obligation changes comparator and tests."
nonpython,fd-deterministic-multi-key-sorting,luna_3,obligation_model,"M3-M4 modeled natural sorting but retained digit-length as a semantic tie-break.","file007 and file7 failed the numeric-equality obligation; one check failed.","Explicit numeric equality changes comparator behavior and coverage."
nonpython,fd-deterministic-multi-key-sorting,luna_4,obligation_model,"M3-M4 claimed natural ordering but did not model equal numeric runs with different leading-zero widths.","The leading-zero equality check failed.","The missing boundary obligation adds actionable comparator/test information."
nonpython,fd-deterministic-multi-key-sorting,terra_3,operational_invalid,"M3-M6 described a complete tested implementation, then M6-M7 stopped because Git author identity was unavailable.","The submitted model.patch was empty; all 43 feature checks ran against base behavior.","The empty artifact must not be attributed to either behavioral category."
